iter	Passed	Remaining
913	6126	576
914	6132	569
915	6138	562
916	6144	556
917	6150	549
918	6156	542
919	6162	535
920	6171	529
921	6177	522
922	6182	515
923	6188	509
924	6194	502
925	6200	495
926	6207	488
927	6213	482
928	6219	475
929	6225	468
930	6231	461
931	6237	455
932	6243	448
933	6249	441
934	6254	434
935	6260	428
936	6266	421
937	6271	414
938	6277	407
939	6283	401
940	6289	394
941	6295	387
942	6301	380
943	6307	374
944	6312	367
945	6350	362
946	6355	355
947	6361	348
948	6367	342
949	6372	335
950	6378	328
951	6384	321
952	6390	315
953	6395	308
954	6401	301
955	6407	294
956	6412	288
957	6418	281
958	6424	274
959	6430	267
960	6439	261
961	6445	254
962	6451	247
963	6457	241
964	6463	234
965	6485	228
966	6490	221
967	6497	214
968	6503	208
969	6508	201
970	6514	194
971	6519	187
972	6525	181
973	6545	174
974	6560	168
975	6566	161
976	6575	154
977	6580	148
978	6586	141
979	6593	134
980	6598	127
981	6604	121
982	6610	114
983	6619	107
984	6625	100
985	6630	94
986	6637	87
987	6642	80
988	6648	73
989	6654	67
990	6659	60
991	6665	53
992	6671	47
993	6677	40
994	6682	33
995	6688	26
996	6695	20
997	6702	13
998	6709	6
999	6715	0
